Unnamed: 0,track_id,track_name,track_artist,track_popularity,track_album_id,track_album_name,track_album_release_date,playlist_name,playlist_id,playlist_genre,playlist_subgenre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,anio,grupo_anio,es0,track_popularity_bins
0,RElEdzDz0jD/AyKJjcfulWEzXE0kFpXmh4bXv+Y7ULB1TeP0aM+PaBvqwd0LvP8m,FiHDRtJEUl5cyhTdIqc96pqUDrUK0HWRLp3DSgTddF8bq1pPqiJwlIHkwOmOOeWyXbuPk7iaPX/jx+awS1ZSrGScONwd+wvW17I11PN6vb4=,brDyePD9ftuUV+4Gnr1FJsWPjK4BxX5b0XyoYraitMs=,66,bG4siwcYExux98rSemYk4gFXGxfOcnuI4eO5KJWxoMNQqXR2KW1EIaU6RfASLSky,eEEakyxHF5aPFTwo7vH7PSLZS28a22sYpSK+vfnHtVI3oFjbRpr7SCOv9LUlR2y4pnfdFhLSGHG6g3VwvMGXMTzUOwVK6WU1p03UtnUCjpk=,2019-06-14,1UeUqIlVAv/WzPy1CR7sm8pQ7buE50YX0hfKcbcxKkw=,R2xsImk7ArHWnrt5W4P7KfkBEFFPXX0SOT12gLJy28ev9tZPYdk2luJ+KV60MUm0,pop,dance pop,0.748,0.916,6,-2.634,1,0.0583,0.102,0.0,0.0653,0.518,122.036,194754.0,2019,2019,0,"(60.0, 70.0]"
1,C/gTxHQyIA9QiUKErgUfcS4Hazv579AlBoZ9oLvF6cuICXcCSOdMQWowzJY2WcNk,VVXKCAduBRccYHLO3cxXaaipymdQo16Ux6Vzu25H+yN2suCbzKMq+DkjIB7Q05DQ,yZ+FAKQmScrq9x8PJ712bV8hv47jlgnsAewOoFrngIE=,67,zhxcdxW4y2Zb2lJW+s//k6WQalA+hkLiBWlF5/WAoXMCY44GyZSL1ZWlHs5FSYVe,us9aGQxdufSLdUN2T+rgPBsZ+2/qXdflgy7Zpb2vbvEOglpNKbTZ+LqAqRzMYOmV,2019-12-13,1UeUqIlVAv/WzPy1CR7sm8pQ7buE50YX0hfKcbcxKkw=,R2xsImk7ArHWnrt5W4P7KfkBEFFPXX0SOT12gLJy28ev9tZPYdk2luJ+KV60MUm0,pop,dance pop,0.726,0.815,11,-4.969,1,0.0373,0.0724,0.00421,0.357,0.693,99.972,162600.0,2019,2019,0,"(60.0, 70.0]"
2,zBrCGicZsUMewr2V/Wzh/fQNTH+mcjXNtePfJoOLgW8VXou5foAuXr+e+YVPODKA,OJmKw9DdVmUNTSRf1s3zLsnfW31OCbcOjVR0sXbF2OBac5Y2cJWicZq9Zx3lHyua,jRPX8GcEZVfskrG6YikLg2qg8eGMiDfMizo6LIIwvc8=,70,2RYXavv6fVc+05Zgc6gyfcrqO8sh2aZbIY1b/c92DzkWFUgZ7TzgDZTUbBXC3FxR,7ctdbmaBRIZois0jsmJ82vP9ILeLmx5gCptAHBSLdJvVpXPWKNfCIGf65mdP8exx,2019-07-05,1UeUqIlVAv/WzPy1CR7sm8pQ7buE50YX0hfKcbcxKkw=,R2xsImk7ArHWnrt5W4P7KfkBEFFPXX0SOT12gLJy28ev9tZPYdk2luJ+KV60MUm0,pop,dance pop,0.675,0.931,1,-3.432,0,0.0742,0.0794,2.33e-05,0.11,0.613,124.008,176616.0,2019,2019,0,"(60.0, 70.0]"
3,+MSXXbogejelwq6wZ+E3w/Zv3nh3umVA1H+Ab0GFp70ElgJYzK+oMZOZe8IoXiHt,OO91MJrKuj8GvC77AJRFWCz9bnSn6h31C0A3ZvnDBv26Cd67KfReacu7VLzHIsnJOY0qcSnuqTTdt1qK3XUPjw==,JkW2Ny6dCKXQSpNtt6h5SEw0R5NufDhLigaLODbIXbVck/NTuRV//uS6PjH2gyT8,60,1GmjrkRKyD4QwYDTPOPHmlqvED2VKimvsi4Jm7oINzYgjNkfn+IXmpmLgmsxz4WC,KTVygB0VTKUZixMwz38GdnAvqHaNi/5jenecspqY++ON5ZT3JaiOv7XwnfIuOJg4,2019-07-19,1UeUqIlVAv/WzPy1CR7sm8pQ7buE50YX0hfKcbcxKkw=,R2xsImk7ArHWnrt5W4P7KfkBEFFPXX0SOT12gLJy28ev9tZPYdk2luJ+KV60MUm0,pop,dance pop,0.718,0.93,7,-3.778,1,0.102,0.0287,9.43e-06,0.204,0.277,121.956,169093.0,2019,2019,0,"(50.0, 60.0]"
4,jCcYIsqs6knl1+5WHL596AZrxduU8BHVNtvgDIDqp8hV7DDcNT8QEfrwXSktJoSC,vWgNGqcABqdXJ9hywk5oxq6iA/19LHzD9y+zMPgPfjNciYfUJO7sNk7nJu7cgzBtFsuKDIhzzA1MJzQTqq2rsA==,OjmbI7NUKbIqRnUZvg8doB30B16uYkLaeJOyKeapbIQ=,69,WEzOSwMg+xGrI7s+7e7VrauNZgdXXvG8N5+VpQnf9MY9uHrBt/m93TWqP4g/hoVY,RSCivI2crYKMOE0dMQIgdZ2hAs0Llp38QdgFGBtu/9d6S8bVPnNws3IdNAD5QJiYFUrzIHCf0AyoE8aAYkhrDg==,2019-03-05,1UeUqIlVAv/WzPy1CR7sm8pQ7buE50YX0hfKcbcxKkw=,R2xsImk7ArHWnrt5W4P7KfkBEFFPXX0SOT12gLJy28ev9tZPYdk2luJ+KV60MUm0,pop,dance pop,0.65,0.833,1,-4.672,1,0.0359,0.0803,0.0,0.0833,0.725,123.976,189052.0,2019,2019,0,"(60.0, 70.0]"
5,A0OyqCG2Vz7tX0ynpnz7/ZisNz5klIGp9QtqWFxf6r9S2qWqisbB5MTHXoSi+QBw,QVsSZegP0bpjzx2uuotpDvXqyCmJMqtT8g9SwW3dmR3oG1kng+O6SjXcIgo6YihQJE2tcrf11U3LK6BOytDGfFlcdtiCCBA7S7TslQ1t7SY=,brDyePD9ftuUV+4Gnr1FJsWPjK4BxX5b0XyoYraitMs=,67,yqGcnZgf2/JDGI7KpgZBAJNmqfRc0gNK3I0wl7MsEQF8rGkvvD++saVa9+1j2Xgv,oeHolqdB4kSCnYJl/Nd/sGlAiw+wqE2FaHBiretd6WUMu9MY7pmAlN65dBoBEe2SykjGWLuC4cp73gbf1fmus2pVAkFlXMJ75cuH650TTs8=,2019-07-11,1UeUqIlVAv/WzPy1CR7sm8pQ7buE50YX0hfKcbcxKkw=,R2xsImk7ArHWnrt5W4P7KfkBEFFPXX0SOT12gLJy28ev9tZPYdk2luJ+KV60MUm0,pop,dance pop,0.675,0.919,8,-5.385,1,0.127,0.0799,0.0,0.143,0.585,124.982,163049.0,2019,2019,0,"(60.0, 70.0]"
6,v1tTLBwQ6mADrUci39cqq2fp7iJygbvX+mDJjAhgb2HUfl09coONB/Lx+Fecnokv,ue3awe2Zn6DPEq9XP0I1bqI+dmmCTqQlystOZZH+lvrAAQtnIkTZEYFg+oJmJQNm,gUJbTj3fwGjJ3qfBw+imWSjcCViqTFSXSRReR+D7fxc=,62,UOTW/886q1Xz6gFMz0MC0mD4BAo/MPPYF60303N40qT7ujpCtyse3mBVadCj8QOe,Elb16Bh0k6W93ATaCJaeQAAL59lyvQdY9n+rKtm2WefqfgW72n2vxykrWKoRUpvy,2019-07-26,1UeUqIlVAv/WzPy1CR7sm8pQ7buE50YX0hfKcbcxKkw=,R2xsImk7ArHWnrt5W4P7KfkBEFFPXX0SOT12gLJy28ev9tZPYdk2luJ+KV60MUm0,pop,dance pop,0.449,0.856,5,-4.788,0,0.0623,0.187,0.0,0.176,0.152,112.648,187675.0,2019,2019,0,"(60.0, 70.0]"
7,jmmJdsKpcQ9pH3Lhk/9j1bJY/H8dSKNPR2X5jXbMbXZ4cvuph0+d11UygZFrzqh5,NjPcl94jEwGGcTKswUSLxAqd7/wxW64jBFaWCQmhcy1D+idAwLf7tzYSUKSmacGBT3M2SKzJbeplvZeU9Cnrfw==,LvKyNQC3nA1roCpp/LRJiqEDa19lAsfNQSCi7s0+caA=,69,FER7qDNyjiXd+iQGODRxTkvzSnArZizDU5vSc+Qtxguo2aYwJt/f+/Eb/ggv+0oi,YyTVUcO1UQrw03nZxdb1jI4ZmZc80TU98RpLGqmMH8E7nA2bnG4Zy70KjT6mI0Ay3HIhsuO+FzPIagc0sn2mfw==,2019-08-29,1UeUqIlVAv/WzPy1CR7sm8pQ7buE50YX0hfKcbcxKkw=,R2xsImk7ArHWnrt5W4P7KfkBEFFPXX0SOT12gLJy28ev9tZPYdk2luJ+KV60MUm0,pop,dance pop,0.542,0.903,4,-2.419,0,0.0434,0.0335,4.83e-06,0.111,0.367,127.936,207619.0,2019,2019,0,"(60.0, 70.0]"
8,IDYYYyOglGVXcs0Hhte04WsiUVk7N5H/CIjFQDwlMLX2MOy1/ar6MJxlhzFERoVX,C+m+k1XdA21iiVoa25hGZ4ZhCadQJhOKhj+cdiRoteQH121zDxlBT07nUwVU/OXXBQnGB3829m3IYQX/TrmajQ==,6ea1EWgRPpKQ0esOzd1e39sDzm4bbbb/TWfguI/xrtc=,68,k1H3iYFfY/4drNPO6MLW5O4tOWQ3RhK1r71URmMqXqKAG3h1vAJRWfk62pjAB5Fk,zPtRJaqSx/NU5OaiXL+KT6mUVN4HG3uBG7SVZYo2tpJHxgztULhlIwvJNVVL5Wxs,2019-06-14,1UeUqIlVAv/WzPy1CR7sm8pQ7buE50YX0hfKcbcxKkw=,R2xsImk7ArHWnrt5W4P7KfkBEFFPXX0SOT12gLJy28ev9tZPYdk2luJ+KV60MUm0,pop,dance pop,0.594,0.935,8,-3.562,1,0.0565,0.0249,3.97e-06,0.637,0.366,127.015,193187.0,2019,2019,0,"(60.0, 70.0]"
9,73gkgoYkgHYJTb7aV/q/Fd6LNa8vt8aLzzgQ4rWQd32iZr/3H8T/ePf/syHy1d8y,lPtzL7LiceQIbsOiIkZ5O7a3EZnHaVe8eh/QYakiyOAc0m+vEzCm+Qmmd1EoQyQCsrZjHH1w1EZ73nR+hgIn5Q==,d64AeJ9bMvaGozDd6EdcZMX7YXI4w1NrTvigtxThDjE=,67,JhAsq4QpvdQ9JCGZrqI4+WdURSPJtqHSpMl0dCOyKvjm1scki5oXmf33F8bLsBwY,KECqif/p6c2sPxiuAUJlTaqGq+diYXu1oYlOxEi66TVdBwbzj/C8i9T3190n3ilYq0txpvh3eDSYiBI5+BAFvA==,2019-06-20,1UeUqIlVAv/WzPy1CR7sm8pQ7buE50YX0hfKcbcxKkw=,R2xsImk7ArHWnrt5W4P7KfkBEFFPXX0SOT12gLJy28ev9tZPYdk2luJ+KV60MUm0,pop,dance pop,0.642,0.818,2,-4.552,1,0.032,0.0567,0.0,0.0919,0.59,124.957,253040.0,2019,2019,0,"(60.0, 70.0]"
